Unnamed: 0,Exp Count,Kill,Cluster,Label
255,0.155487426,4.490842705,0,Unknown
256,0.218749316,4.79686001,0,Unknown
257,0.240740295,4.481473182,0,Unknown
258,0.236841482,4.649987763,0,Unknown
259,0.208762295,4.801532779,0,Unknown
260,0.226414484,4.609151997,0,Unknown
262,0.200580812,4.290685201,0,Unknown
263,0.192072702,4.179867854,0,Unknown
264,0.1671823,3.891632433,0,Unknown
265,0.111454867,3.965935678,0,Unknown
266,0.198112834,3.933954842,0,Unknown
267,0.135047928,3.839219654,0,Unknown
268,0.13235263,4.005872927,0,Unknown
269,0.101538212,3.830759801,0,Unknown
270,0.152238488,4.191036019,0,Unknown
271,0.154638936,3.999993814,0,Unknown
272,0.16139215,3.825943313,0,Unknown
273,0.101351184,3.557426543,0,Unknown
274,0.127906873,3.604648229,0,Unknown
275,0.106761425,3.747326027,0,Unknown
276,0.108552453,3.680914998,0,Unknown
277,0.114186677,3.871966423,0,Unknown
278,0.16326504,3.989789404,0,Unknown
279,0.158415528,3.920784315,0,Unknown
280,0.147238948,3.819010205,0,Unknown
281,0.087378471,3.951448638,0,Unknown
282,0.109090774,3.698177246,0,Unknown
283,0.092024342,3.855819941,0,Unknown
284,0.065015339,3.928784055,0,Unknown
285,0.15483846,4.025799958,0,Unknown
286,0.108695522,3.826082382,0,Unknown
287,0.183999411,4.207986534,0,Unknown
288,0.174657253,3.76026792,0,Unknown
289,0.058631826,3.723120972,0,Unknown
290,0.116343136,3.922425721,0,Unknown
291,0.131386708,3.755470067,0,Unknown
292,0.085987069,3.429928659,0,Unknown
293,0.133105593,3.204773126,0,Unknown
294,0.203703326,3.888881687,0,Unknown
295,0.151334952,3.685451192,0,Unknown
296,0.07291656,3.520828199,0,Unknown
297,0.119363079,3.835533593,0,Unknown
298,0.182691956,3.759608155,0,Unknown
299,0.105769027,3.961530843,0,Unknown
300,0.081355794,3.569485475,0,Unknown
301,0.17999964,3.38999322,0,Unknown
302,0.203007061,4.112772678,0,Unknown
303,0.184048685,3.708580994,0,Unknown
304,0.164633745,3.585357109,0,Unknown
305,0.116882851,3.506485537,0,Unknown
306,0.166051464,3.83025378,0,Unknown
307,0.127868559,3.845892813,0,Unknown
308,0.123809288,3.523802812,0,Unknown
309,0.128571245,3.635709092,0,Unknown
310,0.183452993,3.917260973,0,Unknown
311,0.243749467,3.965616325,0,Unknown
312,0.162790565,3.848834077,0,Unknown
313,0.160534838,3.872902964,0,Unknown
314,0.047430798,3.237151975,0,Unknown
315,0.1999996,3.97999204,0,Unknown
316,0.102166961,3.696586416,0,Unknown
317,0.121771074,3.730622901,0,Unknown
318,0.175823963,3.868127192,0,Unknown
319,0.132911182,3.759487722,0,Unknown
320,0.157894667,4.068824099,0,Unknown
321,0.136881999,3.84410281,0,Unknown
322,0.072164837,3.628860368,0,Unknown
323,0.274900223,3.920316226,0,Unknown
